2019-09-26 13:29:13.0797||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 13:35:07.7285||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 14:42:38.8647||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 14:44:49.2410||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 14:48:29.4418||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 14:48:46.6762||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 14:50:53.4417||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 15:02:12.5187||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 15:12:34.9392||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 15:28:56.9371||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 15:30:10.5886||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 15:34:31.4960||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 15:43:04.0478||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 15:46:01.3909||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 15:47:30.5370||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 19:20:33.1144||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 19:24:44.1167||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 19:40:35.0132||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 19:50:35.2451||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 19:52:50.2862||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 19:59:03.6596||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 20:00:48.2623||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
2019-09-26 20:02:55.2036||DEBUG|BHG.Platform.DemoServer.Program|init main |url: |action: 
